버스정류장ARS번호,승차총승객수,하차총승객수,승하차총승객수
7409,7505,3364,10869
7410,2398,6803,9201
7411,3972,3757,7729
7415,1563,2846,4409
7417,2790,5582,8372
7418,27317,5847,33164
7420,48,1860,1908
7421,7552,5273,12825
7422,3833,2839,6672
7424,372,2576,2948
7425,31473,17138,48611
7426,16811,29276,46087
7427,4067,2639,6706
7429,472,3252,3724
7430,2301,5960,8261
7431,2500,2500,5000
7432,1650,11194,12844
7433,7950,4564,12514
7434,361,5469,5830
7435,8811,939,9750
7436,16140,14668,30808
7437,41,13,54
7438,8714,635,9349
7439,3337,5898,9235
7440,421,5162,5583
7442,47,3338,3385
7443,206,1784,1990
7444,304,1251,1555
7446,5325,6912,12237
7447,573,2120,2693
7448,2562,445,3007
7450,60,770,830
7451,104,1423,1527
7452,5704,10127,15831
7453,14360,1833,16193
7454,2730,25549,28279
7455,26474,898,27372
7456,251,15809,16060
7457,120,12272,12392
7458,17505,134,17639
7459,78,12361,12439
7460,15137,83,15220
7461,1926,3241,5167
7462,10706,64,10770
7463,2760,330,3090
7464,421,8520,8941
7465,15185,6426,21611
7466,14361,17255,31616
7467,817,411,1228
7476,503,71,574
7491,6,50,56
7494,37,98,135
7495,1091,95,1186
7496,1259,101,1360
7498,42,1008,1050
7499,139,357,496
7500,3560,2864,6424
7501,691,203,894
7502,13027,95,13122
7503,71,0,71
7504,36,3,39
7505,4245,199,4444
7506,61,11,72
7507,5421,238,5659
7508,340,16,356
7509,9898,358,10256
7510,2841,753,3594
7511,142,7098,7240
7512,23050,37529,60579
7515,4356,4767,9123
7516,23,66,89
7517,6579,5644,12223
7518,916,3180,4096
7519,5615,2230,7845
7520,0,101,101
7521,0,106,106
7523,2,276,278
7524,47470,20990,68460
7525,1012,5283,6295
7526,595,5343,5938
7527,29,6634,6663
7528,41,9588,9629
7529,96,3136,3232
7530,0,84,84
7550,10160,14003,24163
7551,11,8200,8211
7552,49,70,119
7553,65,156,221
7554,4101,29061,33162
7587,51,118,169
7588,30,62,92
7592,231,25,256
7593,117,52,169
7594,45,156,201
7595,85,233,318
7616,7448,30139,37587
7674,18,35,53
7675,24,53,77
7817,89,373,462
7818,325,56,381
7819,87,155,242
7820,139,43,182
7821,147,128,275
7822,137,178,315
7827,94,18,112
7828,33,144,177
7829,286,418,704
7830,477,182,659
7831,180,281,461
7832,159,107,266
8001,73759,66978,140737
8002,57596,75784,133380
8003,121465,110230,231695
8004,77219,89288,166507
8005,102268,101321,203589
8006,70001,86577,156578
8007,96136,149732,245868
8008,210826,146188,357014
8009,143106,130719,273825
8010,169535,169742,339277
8101,24041,25396,49437
8102,70085,55087,125172
8103,2969,3422,6391
8104,1917,7503,9420
8105,12524,15688,28212
8106,13952,17444,31396
8107,102028,61272,163300
8108,401,46241,46642
8110,68070,52907,120977
8111,27495,12637,40132
8112,25871,49222,75093
8113,38809,5981,44790
8114,11276,37899,49175
8115,4403,7268,11671
8116,6807,12606,19413
8117,23822,21670,45492
8118,25591,24013,49604
8119,68382,59123,127505
8120,62876,52555,115431
8121,72124,43984,116108
8122,6941,15483,22424
8123,53810,91600,145410
8124,91433,28633,120066
8125,7865,4763,12628
8126,14806,23860,38666
8127,1966,13855,15821
8128,5784,4978,10762
8129,21811,16561,38372
8130,6017,5898,11915
8131,24574,13556,38130
8132,11836,34804,46640
8133,46237,18424,64661
8134,11328,10853,22181
8135,3723,10722,14445
8136,16254,8499,24753
8137,7837,9453,17290
8138,10510,7041,17551
8139,10343,14171,24514
8140,17037,10266,27303
8141,9020,7706,16726
8142,20887,25490,46377
8143,6534,7848,14382
8144,1216,4690,5906
8145,5561,2634,8195
8146,11736,14233,25969
8147,47401,5553,52954
8148,41339,42026,83365
8149,37531,54102,91633
8150,83589,91885,175474
8151,78390,59100,137490
8152,90628,56217,146845
8153,69764,90615,160379
8154,86632,56963,143595
8155,68861,90616,159477
8156,39292,61761,101053
8157,21395,22134,43529
8158,25941,14935,40876
8159,17175,12737,29912
8160,17099,296,17395
8161,57069,796,57865
8162,752,48570,49322
8163,14182,8221,22403
8164,2605,15521,18126
8165,31417,6670,38087
8166,9805,25230,35035
8167,61157,16566,77723
8168,33402,50911,84313
8169,51829,15776,67605
8170,18789,51183,69972
8171,38922,13185,52107
8172,11095,35414,46509
8173,20269,11359,31628
8174,8140,32017,40157
8175,56230,65078,121308
8176,66411,58950,125361
8177,57320,43462,100782
8178,59879,67700,127579
8179,30029,38148,68177
8180,22204,18938,41142
8181,25742,17682,43424
8182,14920,18534,33454
8183,22491,19601,42092
8184,18435,20590,39025
8185,17019,12478,29497
8186,9923,15302,25225
8187,17688,8516,26204
8188,10590,14084,24674
8189,9858,4537,14395
8190,1518,6753,8271
8191,1274,4004,5278
8192,5109,6162,11271
8193,6916,4031,10947
8194,3908,5986,9894
8195,9549,7774,17323
8196,5074,6478,11552
8197,14093,4322,18415
8198,4358,13789,18147
8199,13780,3503,17283
8200,1486,7688,9174
8201,19374,1389,20763
8202,2784,11053,13837
8203,20814,1918,22732
8204,1641,20365,22006
8205,12853,10503,23356
8206,1602,15778,17380
8207,2744,30075,32819
8209,30333,22923,53256
8210,45569,11973,57542
8211,13885,13050,26935
8212,19565,16596,36161
8213,8597,12901,21498
8214,9601,13512,23113
8215,17875,12951,30826
8216,20137,14067,34204
8218,1616,648,2264
8219,6505,18160,24665
8220,18604,7032,25636
8221,8049,22319,30368
8222,20093,6354,26447
8223,10614,2746,13360
8224,5165,73,5238
8225,212,6388,6600
8226,12290,162,12452
8227,213,8573,8786
8228,6218,477,6695
8229,468,9708,10176
8230,27252,1312,28564
8231,2209,16503,18712
8232,9655,1377,11032
8233,1122,15976,17098
8234,10685,8904,19589
8235,2980,10873,13853
8236,3547,5571,9118
8237,80550,19799,100349
8238,1259,7046,8305
8239,22209,10450,32659
8240,80,296,376
8242,11381,6900,18281
8243,7413,3238,10651
8244,5455,6078,11533
8245,10558,61342,71900
8246,644,1442,2086
8247,12670,28792,41462
8248,6069,5760,11829
8249,3586,3633,7219
8250,15796,465,16261
8251,21449,620,22069
8252,1492,30814,32306
8253,15252,467,15719
8254,851,20756,21607
8255,20349,2940,23289
8256,1248,23988,25236
8257,4694,12847,17541
8258,2744,19,2763
8259,13952,39,13991
8260,19853,150,20003
8261,1192,18138,19330
8262,12948,5833,18781
8263,19696,9677,29373
8264,17808,17187,34995
8265,46874,15081,61955
8266,12643,39687,52330
8267,23783,24585,48368
8268,15607,21583,37190
8269,20075,96198,116273
8270,132413,30686,163099
8271,94,28,122
8272,85,26,111
8273,1219,106,1325
8274,811,757,1568
8275,5197,40559,45756
8276,26416,5971,32387
8277,7748,20483,28231
8278,30563,13896,44459
8279,3054,13827,16881
8280,20253,11248,31501
8281,6180,20413,26593
8282,17195,5571,22766
8283,21714,23368,45082
8284,16470,12381,28851
8285,10247,15163,25410
8286,9825,12368,22193
8287,15215,20981,36196
8288,26282,13764,40046
8289,7413,9037,16450
8290,15922,11883,27805
8293,17964,3936,21900
8294,4885,17494,22379
8295,14446,15068,29514
8296,20400,13248,33648
8297,9506,6280,15786
8298,6358,10803,17161
8299,16426,20800,37226
8300,20985,21440,42425
8301,45954,33505,79459
8302,15868,27611,43479
8303,10987,19061,30048
8304,17520,11003,28523
8305,28401,17702,46103
8306,13781,5026,18807
8307,103,1088,1191
8308,267,5855,6122
8309,218,551,769
8310,155,2825,2980
8311,8218,6145,14363
8312,5274,7993,13267
8313,2523,3343,5866
8314,983,1371,2354
8315,1046,2453,3499
8316,2515,3401,5916
8318,6100,12063,18163
8320,12114,2282,14396
8321,5863,9177,15040
8322,7984,4315,12299
8323,3348,5829,9177
8324,7309,5806,13115
8325,4902,4199,9101
8326,19896,10437,30333
8327,26423,24891,51314
8328,2806,1370,4176
8329,17107,13266,30373
8330,21,962,983
8332,3099,528,3627
8333,171,7892,8063
8334,444,80,524
8335,880,46,926
8336,79366,10261,89627
8338,3679,19196,22875
8341,4,998,1002
8342,115,1505,1620
8344,42,18252,18294
8347,69,18532,18601
8348,204,11074,11278
8349,42,5785,5827
8350,72,21594,21666
8351,576,2629,3205
8352,93,4466,4559
8353,5746,696,6442
8354,1619,227,1846
8355,48,11558,11606
8357,104,5141,5245
8358,19172,145,19317
8359,13,347,360
8360,570,11610,12180
8361,6042,222,6264
8363,745,4090,4835
8364,338,147,485
8365,1314,2553,3867
8366,2881,2312,5193
8367,5121,692,5813
8368,1297,171,1468
8369,71,5705,5776
8370,963,22,985
8371,233,6995,7228
8372,33915,569,34484
8373,22014,61081,83095
8380,1011,17607,18618
8381,18427,578,19005
8382,1249,17014,18263
8390,169,1336,1505
8391,350,333,683
8392,61,7920,7981
8393,3357,127,3484
8394,4,1754,1758
8395,1726,125,1851
8396,2718,2898,5616
8397,3079,1928,5007
8400,23196,42035,65231
8401,2814,3201,6015
8402,4798,7150,11948
8403,7077,7226,14303
8404,11463,13494,24957
8405,4034,13395,17429
8406,7979,6232,14211
8408,27685,31949,59634
8409,47077,18707,65784
8410,2008,1406,3414
8411,920,529,1449
8412,276,723,999
8425,4,1632,1636
8448,5061,362,5423
8449,1124,2768,3892
8450,4578,139,4717
8451,5368,6119,11487
8452,4098,4951,9049
8453,9201,13871,23072
8454,3729,4506,8235
8455,505,1140,1645
8456,1185,350,1535
8457,29369,18901,48270
8458,10043,4092,14135
8459,35636,39462,75098
8460,3568,189,3757
8462,4521,49,4570
8463,11398,840,12238
8464,1577,300,1877
8465,4213,128,4341
8466,1811,57,1868
8467,3539,250,3789
8468,631,77,708
8469,30967,220,31187
8470,697,80,777
8471,542,69,611
8474,15,14,29
8475,3227,48,3275
8477,4414,666,5080
8478,1036,316,1352
8479,3316,224,3540
8480,522,41,563
8482,4959,391,5350
8483,2779,319,3098
8484,1500,135,1635
8485,21821,325,22146
8487,1124,0,1124
8488,2,75,77
8489,9411,1155,10566
8490,3073,1845,4918
8491,362,53,415
8492,1094,3277,4371
8493,275,667,942
8494,1685,567,2252
8495,1651,1774,3425
8497,7448,286,7734
8498,820,746,1566
8499,70,47,117
8500,16473,910,17383
8502,323,7,330
8503,2,290,292
8504,3758,3034,6792
8505,1207,32548,33755
8506,944,1097,2041
8507,858,1244,2102
8508,1771,1095,2866
8510,3634,333,3967
8511,1116,1823,2939
8512,477,156,633
8513,4996,289,5285
8514,19476,1819,21295
8516,715,215,930
8517,5,579,584
8519,1598,3262,4860
8521,457,701,1158
8522,1029,2768,3797
8523,7,32,39
8526,903,1864,2767
8527,355,168,523
8528,1658,643,2301
8529,3377,5097,8474
8532,648,713,1361
8534,6652,28971,35623
8535,2863,7692,10555
8536,2444,3435,5879
8537,1311,4526,5837
8538,1421,1974,3395
8539,689,864,1553
8540,928,1207,2135
8542,5773,2548,8321
8543,1923,1186,3109
8544,1302,541,1843
8545,1100,10940,12040
8546,16314,8056,24370
8548,60,0,60
8550,12751,7519,20270
8551,1483,7978,9461
8552,595,9901,10496
8554,679,1133,1812
8555,146,222,368
8557,952,1848,2800
8558,2962,4232,7194
8559,3283,180,3463
8560,42199,63683,105882
8562,258,127,385
8563,47,1,48
8564,2663,9958,12621
8565,2948,667,3615
8566,612,36316,36928
8567,2120,1641,3761
8568,12473,14934,27407
8569,539,11645,12184
8570,1831,2286,4117
8571,2817,2596,5413
8572,12134,4850,16984
8574,1921,682,2603
8576,172,382,554
8580,23,11,34
8581,1988,7624,9612
8584,624,1822,2446
8585,217,231,448
8586,4143,530,4673
8587,2366,1395,3761
8588,683,4255,4938
8589,1928,4213,6141
8590,7113,1609,8722
8591,109,11,120
8592,693,143,836
8593,79,453,532
8596,15697,30321,46018
8597,2571,6219,8790
8598,1827,3581,5408
8599,1839,1282,3121
8600,85,330,415
8602,1856,3021,4877
8657,11817,16869,28686
8662,14854,2420,17274
8714,554,78,632
8715,3333,1243,4576
8716,1079,2221,3300
8718,27933,6304,34237
8721,4133,1579,5712
8722,715,1770,2485
8727,2801,1603,4404
8728,17,645,662
8731,1205,2264,3469
8733,770,286,1056
8734,482,2802,3284
8744,11800,4107,15907
8745,1426,1144,2570
8748,1145,513,1658
8749,1236,533,1769
8750,7944,3101,11045
8751,2095,6172,8267
8757,16,1097,1113
8758,451,776,1227
8759,83,2296,2379
8760,723,531,1254
8765,2042,1456,3498
8766,1002,501,1503
8767,876,1311,2187
8769,1077,694,1771
8770,1770,14742,16512
8771,12,2257,2269
8772,282,1209,1491
8773,970,1909,2879
8775,545,321,866
8780,560,944,1504
8781,50981,39466,90447
8783,18702,2420,21122
8786,1527,11671,13198
8787,586,4341,4927
8788,528,1696,2224
8789,280,2823,3103
8790,2974,4487,7461
8791,677,381,1058
8792,2788,259,3047
8795,880,892,1772
8796,29,4889,4918
8798,1010,13586,14596
8799,82,2825,2907
8800,6476,149,6625
8801,1910,2445,4355
8807,25,1671,1696
8808,408,2309,2717
8809,18,1218,1236
8810,1058,21,1079
8815,205,297,502
8819,1153,25000,26153
8821,285,2637,2922
8822,1594,249,1843
8823,1858,79,1937
8824,27,1078,1105
8825,729,59,788
8826,23,1129,1152
8827,1246,11,1257
8828,14,2115,2129
8829,5167,1048,6215
8830,9504,10392,19896
8831,11,2395,2406
8832,2634,4067,6701
8833,1097,21,1118
8834,4016,5550,9566
8835,218,20864,21082
8836,1955,55,2010
8837,912,6245,7157
8838,10879,1674,12553
8839,4661,59,4720
8840,15,2243,2258
8842,1808,69,1877
8843,93,1946,2039
8844,2871,36,2907
8845,30,1787,1817
8846,5554,3952,9506
8847,1528,14,1542
8848,57,2432,2489
8849,4084,661,4745
8850,112,5435,5547
8854,941,1972,2913
8855,37,1701,1738
8856,1722,2480,4202
8858,1388,11,1399
8868,557,1851,2408
8872,2348,214,2562
8873,44678,5053,49731
8874,9126,3578,12704
8876,996,1504,2500
8877,43,3775,3818
8878,318,9738,10056
8881,1045,710,1755
8883,582,805,1387
8884,3697,2430,6127
8886,6225,3807,10032
8888,225,9308,9533
8889,791,1257,2048
8892,3959,4999,8958
8893,2497,3719,6216
8894,1344,869,2213
8895,48,2112,2160
8896,289,435,724
8897,838,1378,2216
8898,1155,1834,2989
8900,1705,4264,5969
8901,1110,1551,2661
8904,396,1403,1799
8908,1914,2136,4050
8909,12960,7526,20486
8910,194,1204,1398
8911,2483,3129,5612
8912,798,1619,2417
8913,745,1595,2340
8914,852,5637,6489
8915,2519,1134,3653
8916,374,1834,2208
8917,171,1810,1981
8919,11,4680,4691
8920,1783,2199,3982
8921,437,3686,4123
8922,49,3744,3793
8923,247,1108,1355
8924,1199,4878,6077
8925,24,605,629
8926,1320,3310,4630
8927,99,13168,13267
8928,2138,7261,9399
8930,24,3984,4008
8931,2387,3136,5523
8932,657,171,828
8934,2671,3085,5756
8935,198,38044,38242
8936,757,1105,1862
8937,7,3775,3782
8938,411,2604,3015
8939,1116,2009,3125
8940,121,6,127
8941,5178,2015,7193
8942,31,9609,9640
8943,114,16762,16876
8945,1959,1684,3643
8946,179,1114,1293
8947,351,4136,4487
8948,8,863,871
8949,520,2163,2683
8950,10,2821,2831
8951,316,389,705
8952,2138,4814,6952
8953,522,3744,4266
8954,14,2249,2263
8955,50,21,71
8956,556,2701,3257
8957,29,3449,3478
8958,775,480,1255
8959,295,953,1248
8960,340,2074,2414
8961,100,4599,4699
8962,82,7815,7897
8963,102,42,144
8964,731,468,1199
8965,457,1233,1690
8966,303,2767,3070
8969,223,564,787
8970,825,1919,2744
8971,482,3021,3503
8972,292,1627,1919
8973,198,1079,1277
8975,95,960,1055
8976,36,2093,2129
8977,131,2870,3001
8979,1201,3929,5130
8980,5281,5800,11081
8981,3230,2632,5862
8982,2811,2608,5419
8983,1019,5660,6679
8984,144,14977,15121
8985,21,7245,7266
8986,1161,19153,20314
8987,47,8079,8126
8988,57,16767,16824
8989,22146,253,22399
8990,7427,196,7623
8991,11164,439,11603
8992,3018,170,3188
8997,47306,26727,74033
9001,60554,58990,119544
9002,36175,47488,83663
9003,60165,48441,108606
9004,223371,234754,458125
9005,137593,92844,230437
9006,108333,119013,227346
9007,90060,67286,157346
9008,71478,92511,163989
9009,69990,71107,141097
9010,45220,77450,122670
9011,200097,170794,370891
9012,255632,236984,492616
9013,157888,175722,333610
9102,16471,13635,30106
9103,13865,3225,17090
9104,3153,13476,16629
9105,17050,5111,22161
9106,31791,10137,41928
9107,34880,13552,48432
9108,23211,8524,31735
9109,6519,30049,36568
9110,9342,22251,31593
9111,22051,4343,26394
9112,6364,10111,16475
9113,6140,4570,10710
9114,14728,9405,24133
9115,13893,10480,24373
9116,13681,4648,18329
9117,8794,13627,22421
9118,8837,3965,12802
9119,3745,9482,13227
9120,30183,10548,40731
9121,10195,16287,26482
9122,30243,9031,39274
9123,14528,37682,52210
9124,7384,20577,27961
9125,34571,7659,42230
9126,49698,10088,59786
9127,10364,36353,46717
9128,33001,17629,50630
9129,13672,39428,53100
9130,6791,4056,10847
9131,3585,4838,8423
9132,9367,3194,12561
9133,4712,9359,14071
9134,27159,5145,32304
9135,6318,17096,23414
9136,3021,7041,10062
9137,14586,4014,18600
9138,2357,11195,13552
9139,6027,2924,8951
9140,4038,10065,14103
9141,7156,3779,10935
9142,7553,17187,24740
9143,19792,9562,29354
9144,21300,22156,43456
9145,14128,26870,40998
9146,39257,73164,112421
9147,54505,32081,86586
9148,4056,13158,17214
9149,6380,9120,15500
9150,15467,9980,25447
9151,7474,8999,16473
9152,4575,4719,9294
9153,11227,9711,20938
9154,25339,12527,37866
9155,29284,9357,38641
9156,14161,6970,21131
9157,3985,16197,20182
9158,33430,12427,45857
9159,10681,25479,36160
9160,25757,16531,42288
9161,20532,26101,46633
9162,11192,7131,18323
9163,6452,11666,18118
9164,14663,9422,24085
9165,10769,12388,23157
9166,37754,21431,59185
9167,15053,24783,39836
9168,24991,11181,36172
9169,11906,32665,44571
9170,10823,23125,33948
9171,29767,13713,43480
9172,8531,16370,24901
9173,13998,8616,22614
9174,12964,11094,24058
9175,2917,35171,38088
9176,16276,4925,21201
9177,5136,5489,10625
9179,4372,9877,14249
9180,4969,2220,7189
9181,5050,12677,17727
9182,15673,2383,18056
9183,4057,8836,12893
9184,8762,3719,12481
9185,3225,9456,12681
9186,32841,23922,56763
9187,22897,6879,29776
9188,4137,13888,18025
9189,29494,26880,56374
9190,28847,63694,92541
9194,23714,38,23752
9195,671,17868,18539
9196,14883,1074,15957
9197,186,15773,15959
9198,6347,5791,12138
9199,2985,11577,14562
9200,1050,3051,4101
9201,9595,4874,14469
9203,7695,6215,13910
9205,19535,10106,29641
9206,10413,34058,44471
9207,12095,6814,18909
9208,3888,15557,19445
9209,4155,9475,13630
9210,12299,6318,18617
9211,16641,5007,21648
9212,6326,11617,17943
9213,7967,6079,14046
9214,3636,8726,12362
9215,9008,13605,22613
9216,11142,9074,20216
9217,7632,20178,27810
9218,9218,6159,15377
9219,15530,6836,22366
9220,26324,20813,47137
9221,17421,7734,25155
9222,9787,9771,19558
9223,20776,9124,29900
9224,11070,16701,27771
9225,9111,6805,15916
9226,7945,17231,25176
9227,8402,6319,14721
9228,5751,398,6149
9229,604,2310,2914
9230,1096,2516,3612
9231,1003,8532,9535
9232,8900,980,9880
9233,995,921,1916
9234,11693,1263,12956
9235,892,1316,2208
9236,11495,1859,13354
9237,34692,31417,66109
9238,986,259,1245
9239,6662,1594,8256
9240,2723,8506,11229
9241,9886,3069,12955
9242,3943,7817,11760
9243,5756,4295,10051
9244,16819,9471,26290
9245,3085,26665,29750
9246,1897,12979,14876
9247,9762,3447,13209
9248,64670,21871,86541
9249,48817,47341,96158
9253,121,3664,3785
9255,20499,163,20662
9256,79,23024,23103
9260,362,4074,4436
9261,34011,28827,62838
9263,11611,2666,14277
9266,8361,6557,14918
9267,4014,15817,19831
9269,1430,618,2048
9270,4780,1542,6322
9271,1521,8632,10153
9272,17046,43683,60729
9273,2821,7010,9831
9274,5239,6254,11493
9275,2528,11294,13822
9276,11111,3720,14831
9277,33858,149957,183815
9278,940,2086,3026
9283,3939,8793,12732
9286,6813,321,7134
9289,388,207,595
9290,37,16328,16365
9291,4134,3828,7962
9293,15004,5512,20516
9294,6,3434,3440
9295,7967,7653,15620
9298,2830,14676,17506
9302,5323,7221,12544
9303,2817,1316,4133
9304,7504,10866,18370
9305,1207,6524,7731
9306,24648,3821,28469
9307,2055,3735,5790
9308,295,1299,1594
9310,12593,226,12819
9311,242,13667,13909
9312,16378,12340,28718
9313,10419,4692,15111
9314,2080,500,2580
9500,7548,4903,12451
9501,6841,1065,7906
9502,68801,5209,74010
9503,2477,4609,7086
9504,2188,518,2706
9505,933,21,954
9506,2787,110,2897
9507,3941,62,4003
9510,1122,416,1538
9512,1913,28,1941
9513,4940,30,4970
9514,1193,5,1198
9515,1420,7,1427
9516,886,1529,2415
9517,1777,149,1926
9518,2823,1831,4654
9520,2916,161,3077
9521,1592,16,1608
9522,1122,7,1129
9523,1762,119,1881
9525,5887,298,6185
9526,7234,3587,10821
9528,10016,534,10550
9529,2557,24,2581
9530,534,5,539
9531,2486,378,2864
9532,3065,238,3303
9533,7904,3646,11550
9534,4172,834,5006
9535,6662,1002,7664
9536,7535,53,7588
9537,6549,21,6570
9539,14058,2201,16259
9540,2147,674,2821
9541,13593,8382,21975
9543,3224,442,3666
9544,2366,398,2764
9545,7549,44,7593
9546,2665,99,2764
9547,9782,3027,12809
9548,2947,1432,4379
9550,2543,466,3009
9551,6669,1175,7844
9553,2019,8480,10499
9554,3306,1041,4347
9556,4908,577,5485
9557,6030,243,6273
9558,7861,185,8046
9560,8792,26927,35719
9561,2986,907,3893
9562,26,4673,4699
9563,3138,539,3677
9564,3611,418,4029
9566,882,233,1115
9567,101125,94579,195704
9568,1607,4280,5887
9569,1561,1506,3067
9571,5409,657,6066
9572,749,881,1630
9573,7362,804,8166
9576,7640,8311,15951
9577,74,6001,6075
9578,2958,5748,8706
9579,78715,18068,96783
9580,9057,1089,10146
9582,3208,2287,5495
9583,5088,828,5916
9585,7242,5907,13149
9586,119,24536,24655
9588,1978,2104,4082
9589,1103,17464,18567
9590,3550,3848,7398
9591,6039,1846,7885
9592,845,1742,2587
9593,7346,4095,11441
9594,36417,7881,44298
9595,62517,56809,119326
9597,4237,2426,6663
9598,711,1843,2554
9599,1698,8296,9994
9600,5186,3601,8787
9631,6427,320,6747
9642,912,5856,6768
9656,4511,1552,6063
9682,1506,1471,2977
9717,7361,5398,12759
9718,2365,1101,3466
9739,59727,14528,74255
9753,1100,4328,5428
9754,268,2578,2846
9760,13174,6999,20173
9769,1936,2661,4597
9770,2173,4426,6599
9771,35276,2628,37904
9773,421,5026,5447
9774,8414,4712,13126
9775,2234,4946,7180
9776,1560,1815,3375
9777,815,4125,4940
9778,351,10224,10575
9779,6806,2935,9741
9780,11480,2521,14001
9781,591,1819,2410
9782,2140,8581,10721
9783,415,5596,6011
9785,6340,1046,7386
9786,574,869,1443
9787,4222,6453,10675
9788,903,9450,10353
9789,3346,8144,11490
9790,28443,6400,34843
9791,1502,854,2356
9792,490,1823,2313
9793,1027,1440,2467
9794,466,4887,5353
9795,109,3619,3728
9798,5944,1766,7710
9799,358,4229,4587
9800,3324,1000,4324
9801,237,4239,4476
9802,69,4601,4670
9803,4257,4117,8374
9804,1073,570,1643
9805,1208,2291,3499
9806,492,8034,8526
9807,8582,381,8963
9808,658,5602,6260
9809,21,1971,1992
9811,2818,2744,5562
9812,1369,4798,6167
9813,23,2421,2444
9814,662,6704,7366
9815,1043,3029,4072
9817,243,3826,4069
9818,1299,5261,6560
9819,645,3345,3990
9820,40,2749,2789
9821,42,4252,4294
9822,3359,8621,11980
9824,62,3839,3901
9825,52380,23370,75750
9826,1213,11627,12840
9827,648,2316,2964
9828,553,8710,9263
9829,707,4684,5391
9830,1086,7455,8541
9831,24,5930,5954
9832,958,6103,7061
9833,79,6076,6155
9834,80531,44785,125316
9835,135,1845,1980
9836,31,5769,5800
9837,13,5025,5038
9841,4023,22756,26779
9843,20,2987,3007
9844,1,957,958
9845,161,2981,3142
9847,373,6332,6705
9848,1857,6345,8202
9851,3,1374,1377
9853,1041,5085,6126
9854,1474,6350,7824
9856,5,1152,1157
9857,319,1429,1748
9859,537,2322,2859
9860,539,6380,6919
9861,597,670,1267
9862,1076,1859,2935
9863,1839,3955,5794
9865,10107,39279,49386
9868,608,3641,4249
9870,453,13280,13733
9872,2219,7703,9922
9873,3297,5781,9078
9875,26,3383,3409
9876,1823,5972,7795
9877,29,3296,3325
9878,1452,6655,8107
9880,206,2845,3051
9881,257,1704,1961
9882,3661,5909,9570
9883,2462,4627,7089
9884,5713,6600,12313
9885,8908,5528,14436
9886,4050,2596,6646
9887,1514,2370,3884
9888,1835,2163,3998
9890,3977,2880,6857
9893,1705,5975,7680
9894,90136,38414,128550
9895,5035,12181,17216
9896,3931,805,4736
9897,3390,2856,6246
9898,1083,3276,4359
9899,6854,20130,26984
9903,262,2829,3091
9905,978,12716,13694
9908,1449,975,2424
9909,305,437,742
9913,92,13539,13631
9920,1959,1075,3034
9934,3118,157,3275
9936,744,436,1180
9937,1237,92,1329
9938,994,210,1204
9939,118,176,294
9940,87,2257,2344
9941,10741,10066,20807
9942,13431,4609,18040
9943,5977,3166,9143
9944,765,2355,3120
9945,3012,1856,4868
9946,1289,1620,2909
9947,150,1063,1213
9948,1190,1121,2311
9949,85,2496,2581
9950,10279,10084,20363
9994,13924,12414,26338
10001,60005,26167,86172
10002,26909,35981,62890
10003,47488,7306,54794
10004,8015,42515,50530
10005,39321,11566,50887
10006,11787,34909,46696
10007,26155,10842,36997
